name,scn_name,bus,carrier,p_nom,p_nom_extendable,p_nom_min,p_max_pu,capital_cost,max_hours,efficiency_store,efficiency_dispatch,control,p_nom_opt
0 battery,eGon2035_lowflex,0,battery,0.0,True,585.1511703997379,1.0,1242.0429193376096,6.0,0.9797958971132713,0.9797958971132713,PV,1377.1274722766464
1 battery,eGon2035_lowflex,1,battery,0.0,True,1240.1599124702443,1.0,1242.0429193376096,6.0,0.9797958971132712,0.9797958971132712,PV,1684.5758165065292
1 pumped_hydro,eGon2035_lowflex,1,pumped_hydro,1164.7,False,0.0,1.0,0.0,6.0,0.8660254037844387,0.8660254037844387,PV,1164.7
10 battery,eGon2035_lowflex,10,battery,0.0,True,661.0890014912047,1.0,1242.0429193376096,6.0,0.9797958971132712,0.9797958971132712,PV,1080.8004635998261
10 pumped_hydro,eGon2035_lowflex,10,pumped_hydro,119.1,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,119.1
11 battery,eGon2035_lowflex,11,battery,0.0,True,995.4662667675998,1.0,1242.0429193376096,6.0,0.9797958971132712,0.9797958971132712,PV,1349.0316045656177
11 pumped_hydro,eGon2035_lowflex,11,pumped_hydro,220.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,220.0
12 battery,eGon2035_lowflex,12,battery,0.0,True,2262.810588516273,1.0,1242.0429193376096,5.999999999999999,0.9797958971132713,0.9797958971132713,PV,3562.435261086783
12 pumped_hydro,eGon2035_lowflex,12,pumped_hydro,303.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,303.0
13 battery,eGon2035_lowflex,13,battery,0.0,True,224.5729782259377,1.0,1242.0429193376096,6.0,0.9797958971132712,0.9797958971132712,PV,949.2670684784048
14 battery,eGon2035_lowflex,14,battery,0.0,True,1101.6644405630648,1.0,1242.0429193376096,6.000000000000001,0.9797958971132712,0.9797958971132712,PV,1330.7085511234998
14 pumped_hydro,eGon2035_lowflex,14,pumped_hydro,1911.3999999999999,False,0.0,1.0,0.0,6.000000000000001,0.8660254037844386,0.8660254037844386,PV,1911.3999999999999
15 battery,eGon2035_lowflex,15,battery,0.0,True,1158.047954305807,1.0,1242.0429193376096,6.0,0.9797958971132712,0.9797958971132712,PV,1168.2118744274028
15 pumped_hydro,eGon2035_lowflex,15,pumped_hydro,920.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,920.0
2 battery,eGon2035_lowflex,2,battery,0.0,True,600.0340684779852,1.0,1242.0429193376096,6.000000000000001,0.9797958971132712,0.9797958971132712,PV,622.7396131388499
2 pumped_hydro,eGon2035_lowflex,2,pumped_hydro,910.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,910.0
3 battery,eGon2035_lowflex,3,battery,0.0,True,336.0475979769922,1.0,1242.0429193376096,6.0,0.9797958971132712,0.9797958971132712,PV,15273.158392101299
4 battery,eGon2035_lowflex,4,battery,0.0,True,1812.243823036121,1.0,1242.0429193376096,6.0,0.9797958971132712,0.9797958971132712,PV,1817.7776104985749
4 pumped_hydro,eGon2035_lowflex,4,pumped_hydro,28.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,28.0
43775 battery,eGon2035_lowflex,43775,battery,1767.57494945,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,1767.57494945
43775 pumped_hydro,eGon2035_lowflex,43775,pumped_hydro,300.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,300.0
43776 battery,eGon2035_lowflex,43776,battery,1350.0,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,1350.0
43776 pumped_hydro,eGon2035_lowflex,43776,pumped_hydro,1395.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,1395.0
43777 battery,eGon2035_lowflex,43777,battery,1047.2089756,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,1047.2089756
43777 pumped_hydro,eGon2035_lowflex,43777,pumped_hydro,3989.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,3989.0
43778 battery,eGon2035_lowflex,43778,battery,1337.0050395500002,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,1337.0050395500002
43778 pumped_hydro,eGon2035_lowflex,43778,pumped_hydro,687.5999756,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,687.5999756
43779 battery,eGon2035_lowflex,43779,battery,768.8703331500001,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,768.8703331500001
43780 battery,eGon2035_lowflex,43780,battery,422.3056838,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,422.3056838
43781 battery,eGon2035_lowflex,43781,battery,10432.467792820002,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,10432.467792820002
43781 pumped_hydro,eGon2035_lowflex,43781,pumped_hydro,1800.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,1800.0
43782 battery,eGon2035_lowflex,43782,battery,170.85502953500006,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,170.85502953500006
43783 battery,eGon2035_lowflex,43783,battery,4778.14575,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,4778.14575
43783 pumped_hydro,eGon2035_lowflex,43783,pumped_hydro,4004.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,4004.0
43785 battery,eGon2035_lowflex,43785,battery,2025.02449595,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,2025.02449595
43787 battery,eGon2035_lowflex,43787,battery,625.0,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,625.0
43787 pumped_hydro,eGon2035_lowflex,43787,pumped_hydro,1323.099976,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,1323.099976
43788 battery,eGon2035_lowflex,43788,battery,2623.0080286700004,False,0.0,0.9999999999999998,0.0,5.999999999999998,0.9797958971132712,0.9797958971132712,PV,2623.0080286700004
5 battery,eGon2035_lowflex,5,battery,0.0,True,759.6438423709469,1.0,1242.0429193376096,6.000000000000001,0.9797958971132712,0.9797958971132712,PV,8353.382958076776
6 battery,eGon2035_lowflex,6,battery,0.0,True,211.53065421369357,0.9999999999999999,1242.0429193376096,6.0,0.9797958971132712,0.9797958971132712,PV,968.1818981084381
7 battery,eGon2035_lowflex,7,battery,0.0,True,1112.4143612186758,1.0,1242.0429193376096,6.0,0.9797958971132713,0.9797958971132713,PV,1572.6168071104946
7 pumped_hydro,eGon2035_lowflex,7,pumped_hydro,625.0,False,0.0,1.0,0.0,6.000000000000001,0.8660254037844386,0.8660254037844386,PV,625.0
8 battery,eGon2035_lowflex,8,battery,0.0,True,1279.9843896558946,1.0,1242.0429193376096,6.0,0.9797958971132712,0.9797958971132712,PV,1286.7184850211597
8 pumped_hydro,eGon2035_lowflex,8,pumped_hydro,252.0,False,0.0,1.0,0.0,6.0,0.8660254037844387,0.8660254037844387,PV,252.0
9 battery,eGon2035_lowflex,9,battery,0.0,True,2459.138950309821,1.0,1242.0429193376096,6.0,0.9797958971132711,0.9797958971132711,PV,2466.5910237763196
9 pumped_hydro,eGon2035_lowflex,9,pumped_hydro,322.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,322.0
